,ra,dec,mag
557,99.48,9.5756,15.8
558,83.88021,-5.97594,16.6
559,50.843433,11.6870581,9.6
560,39.45,62.13,15.3
561,68.3491092,23.9908117,12.27
562,83.83529,-6.79053,13.801
563,56.920717,22.929975,11.14
564,84.22192,-6.58344,14.939
565,85.69117,-5.8305,13.5
566,97.961383,41.495969,11.0
567,192.27804,0.52833,50.0
568,128.467,19.462,16.6
569,36.848525,61.442436,11.8
570,55.30475,24.10089,14.7
571,84.3462,-6.0564,16.01
572,83.556092,-5.928272,14.18
573,67.51637,25.83417,15.0
574,82.73775,-4.21572,14.2
575,56.35867,24.75303,16.0
576,129.952,8.93839,12.07
577,129.65,21.765,14.3
578,56.43367,24.07411,12.51
579,83.680362,-6.284333,13.62
580,56.76492,24.15972,12.72
581,56.52875,24.56281,11.75
582,69.57,23.07,15.3
583,170.02011894,65.84648503,7.7
584,58.21546,22.52586,14.4
585,58.237338,22.433761,13.853
586,129.342,19.958,16.6
587,83.66304,-4.03597,15.2
588,57.506975,24.613528,13.5
589,85.89675,-6.24336,13.9
590,311.76137,67.33156,17.0
591,84.323,-6.21336,15.3
592,76.707992,-21.585897,9.07
593,83.69525,-0.43683,14.3
594,100.44129,9.55069,12.825
595,56.91396,24.45897,14.74
596,357.31258,10.09403,10.6
597,68.6,22.47,16.1
598,56.614762,23.575989,14.3
599,68.52383,25.35742,15.2
600,56.03667,23.07994,16.96
601,56.822258,22.215903,16.1
602,268.129,-36.13,16.7
603,54.75079,23.76856,15.3
604,268.475,-36.253,15.9
605,85.76075,-4.49986,11.2
606,85.56013,-7.16803,16.5
607,57.09483,23.97256,12.66
608,47.806608,61.137236,10.81
609,58.6165,23.83542,11.476
610,82.52442,-4.38325,13.8
611,57.68175,22.29386,15.0
612,83.71233,-5.70594,11.456
613,312.65829,40.91172,16.0
614,83.509071,-5.605422,12.142
615,55.67154,24.02861,15.56
616,57.66242,21.98228,15.4
617,163.04958,-61.38636,19.32
618,66.27775,23.56578,15.5
619,83.249596,-4.788356,14.13
620,83.6905,-6.36117,13.18
621,86.17788,-20.06453,14.0
622,83.87567,-6.20167,13.792
623,58.96258,24.20075,15.7
624,83.221362,-6.094889,14.5
625,55.80442,24.65542,13.61
626,83.81871,-5.05844,16.14
627,56.13775,25.75269,14.1
628,57.1085,25.24475,13.249
629,56.603221,24.465133,15.3
630,176.77262,70.033,10.5
631,84.946,-6.415,50.0
632,84.122004,-4.897514,14.21
633,84.049537,-5.265306,14.485
634,55.90233,23.20956,15.3
635,313.66229,43.92511,16.2
636,84.43417,-5.492,16.1
637,310.42603387,-22.32235692,8.351
638,68.62,22.42,15.9
639,100.25,9.97,17.5
640,83.7729,-4.8603,15.7
641,54.16,23.1456,19.0
642,39.75488084,-58.18714443,7.679
643,128.3418,20.721489,16.0
644,249.060188,-26.303536,12.0
645,244.521,6.282,50.0
646,63.81799845,-7.65287232,3.29
647,188.49679,23.44194,15.1
648,3.90292,-29.76678,14.31
649,66.53146,22.98614,14.6
650,85.57375,-5.62367,16.0
651,314.288,42.027,16.0
652,58.586108,22.111831,16.2
653,163.0135977,0.5440342,10.7
654,56.94967,22.55556,12.81
655,186.83,27.6,15.5
656,56.112,24.40883,13.692
657,224.652411,27.690926,50.0
658,184.2434662,31.1564812,13.73
659,83.15258,-4.69344,15.4
660,83.3908,-6.4317,16.4
661,313.7905,43.37869,14.8
662,84.166892,-5.206428,15.5
663,333.02673078,31.56140625,8.9
664,314.5,43.88,50.0
665,213.570861,-15.353485,13.63
666,46.404012,36.058831,13.161
667,313.3537,41.7622,14.6
668,254.605473,13.969637,10.1
669,81.98879,-4.99783,16.7
670,32.05171,15.14564,15.2
671,119.6268754,15.5000553,15.509
672,30.053996,13.051947,9.195
673,83.684912,-5.538544,13.075
674,56.151163,23.50313,14.011
675,81.99579,-5.67467,18.0
676,15.63430034,71.67981561,8.3
677,308.6996,42.5328,15.4
678,57.67975,26.22058,15.1
679,84.77563,-4.71381,15.5
680,59.26279,24.36464,12.9
681,126.34265,20.365767,13.5
682,83.947817,-5.380422,12.991
683,54.884641,24.267057,14.57
684,83.62113,-6.64772,14.0
685,54.11396,24.68822,14.4
686,195.13912,22.92789,15.76
687,84.011,-5.12681,14.5
688,148.93171,35.36172,10.0
689,67.170667,34.7112,14.939
690,66.21717,22.04497,14.3
691,312.76637,44.19461,13.8
692,56.9758,22.6572,16.6
693,84.2161,-5.143283,13.42
694,68.57704,23.942,13.9
695,83.42821,-6.70392,14.8
696,82.71375,-5.60656,15.2
697,246.564217,-23.7411,15.7
698,127.42,-41.56658,12.3
699,54.98617,22.47336,15.5
700,57.6915,21.87717,16.0
701,84.65929,-3.77347,15.0
702,55.54413,22.26078,15.8
703,85.56575,-4.32825,14.8
704,81.80375,-5.38125,14.1
705,202.9442212,29.2768387,9.15
706,57.958,24.19739,14.6
707,58.07912,25.59097,15.0
708,56.9585,24.78528,14.2
709,56.720996,26.359908,16.4
710,67.01546,24.40214,14.9
711,83.72167,-4.48419,12.4
712,298.4769524,44.4147459,9.78
713,70.754,23.677,14.2
714,56.10204,23.66328,15.0
715,84.273967,-4.789236,16.4
716,82.15421,-6.05417,14.7
717,84.356192,-5.718717,14.6
718,55.6095,24.23553,14.3
719,84.252825,-5.416958,16.0
720,209.96608,-5.38211,11.7
721,81.6735,-5.03889,15.1
722,306.34133,42.07917,16.8
723,58.15688,24.74864,13.2
724,66.8445,23.581,14.7
725,54.84,23.83372,15.7
726,56.300619,23.36479,14.91
727,206.43240272,14.89151763,6.363
728,100.3288,9.5983,16.5
729,268.879,-36.437,15.7
730,58.93867,26.26575,16.2
731,101.03963,8.2255,15.8
732,118.274637,34.948036,15.124
733,82.576675,-6.479506,15.0
734,30.4752924,73.5422362,13.784
735,267.842,-35.22,15.5
736,259.9977683,24.2014739,12.5
737,139.82896,38.52108,14.29
738,56.62992,24.11736,12.39
739,84.138,-3.71558,13.5
740,195.19409744,12.37573119,7.653
741,83.85717,-4.09236,14.2
742,278.841429,44.376575,19.9
743,55.98625,24.99353,13.764
744,58.226,25.29542,15.08
745,55.54054,22.52733,15.2
746,66.94379,24.01864,15.7
747,84.6504,-5.68,16.1
748,162.835821,36.123764,10.6
749,314.20221717,-4.84698057,9.266
750,55.9015,25.36056,14.9
751,84.01879,-5.15803,12.5
752,11.0054967,9.5494019,9.176
753,223.72904,41.14669,11.3
754,55.89225,25.59061,16.0
755,57.94788,24.26856,14.6
756,66.890237,16.872797,12.93
757,313.721,40.475,16.3
758,288.66315347,19.31769711,9.012
759,312.69288,41.965,14.1
760,184.829,27.222,15.4
761,99.38642,11.25603,15.0
762,57.61708,24.38339,15.8
763,15.61229,41.02897,11.2
764,51.687312,19.244525,11.1
765,120.25135,44.890136,14.469
766,273.90388,48.27442,50.0
767,58.07192,24.8745,15.0
768,55.96563,24.23781,15.0
769,86.94638,7.88692,15.5
770,67.68746,22.63008,15.5
771,87.48987,6.78292,13.7
772,42.957145,29.4868984,10.8
773,55.902608,24.2323,12.2
774,70.7295,25.27667,13.2
