C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
121 |V* V626 Cas                  |Fl*|048.0783 +61.0517          |     ~|11.9  |     ~|     ~|     ~|~              |   1|   0
122 |V* V1050 Tau                 |Fl*|057.80425 +22.30689        |15.8  |16.300|     ~|15.700|     ~|~              |   2|   0
123 |V* V372 Tau                  |Fl*|057.55108 +23.99592        |15.1  |17.12 |15.49 |     ~|13.04 |M2.5e          |  33|   0
124 |V* MZ Tau                    |Fl*|056.10992 +26.04183        |     ~|14.2  |     ~|     ~|     ~|M              |  13|   0
125 |UCAC4 600-043269             |Fl*|116.8205550 +29.9602306    |     ~|     ~|13.168|12.744|     ~|~              |   8|   0
126 |V* V567 Ori                  |Fl*|083.9075 -04.2408          |     ~|13.5  |     ~|     ~|     ~|~              |   0|   0
127 |V* V800 Tau                  |Fl*|057.73925 +24.10861        |16.5  |18.153|16.572|     ~|14.081|~              |  13|   0
128 |GJ 1096                      |Fl*|109.075085 +33.152882      |     ~|16.24 |14.540|14.242|11.1  |M5V            |  23|   0
129 |V* HI And                    |Fl*|009.503454 +40.439783      |     ~|15.4  |     ~|16.38 |     ~|~              |   3|   0
130 |V* V515 Per                  |Fl*|051.82567 +47.95758        |12.7  |     ~|     ~|     ~|     ~|~              |   7|   0
131 |V* V861 Ori                  |Fl*|084.31625 -04.63011        |     ~|16.2  |     ~|14.800|     ~|~              |   4|   0
132 |V* V1498 Cyg                 |Fl*|315.575896 +45.084911      |15.5  |     ~|     ~|     ~|     ~|~              |   2|   0
133 |V* V766 Ori                  |Fl*|083.662008 -06.422733      |     ~|14.7  |15.464|     ~|13.150|M2.2           |   9|   0
134 |V* V478 Tau                  |Fl*|058.34046 +25.64314        |     ~|15.0  |     ~|     ~|     ~|~              |   8|   0
135 |V* V753 Ori                  |Fl*|083.61954 -06.36889        |     ~|15.9  |15.871|15.500|13.816|M0.8           |   6|   0
136 |V* V1205 Ori                 |Fl*|082.69167 -07.50789        |14.2  |18.800|     ~|16.400|     ~|~              |   2|   0
137 |V* V560 Tau                  |Fl*|057.884900 +24.618586      |     ~|14.36 |12.97 |12.200|     ~|~              |   6|   0
138 |V* V804 Tau                  |Fl*|058.3542 +23.6308          |15.3  |     ~|     ~|     ~|     ~|~              |   4|   0
139 |V* V964 Tau                  |Fl*|055.97571 +22.30006        |15.6  |15.6  |     ~|14.800|     ~|~              |   2|   0
140 |[H83b] B33                   |Fl*|068.32 +24.37              |     ~|17.2  |     ~|     ~|     ~|~              |   2|   0
141 |V* V545 Tau                  |Fl*|057.20550 +23.97733        |13.4  |13.61 |12.65 |     ~|11.50 |K2.5e          |  63|   0
142 |V* GX And                    |Fl*|004.59535549 +44.02295229  |10.30 |10.120| 8.13 | 7.3  | 6.4  |M2V            | 378|   1
143 |V* HM CMa                    |Fl*|101.329021 -16.802608      |     ~|     ~| 8.9  |11.33 |10.34 |~              |   4|   0
144 |V* V1752 Cyg                 |Fl*|307.2804 +40.4367          |15.5  |17.90 |     ~|     ~|     ~|~              |   3|   0
145 |V* V394 Ori                  |Fl*|083.3454 -05.1133          |     ~|14.5  |16.0  |     ~|     ~|~              |   6|   0
146 |V* V1270 Ori                 |Fl*|083.500983 -04.354800      |17.1  |     ~|     ~|     ~|     ~|~              |   3|   0
147 |G 99-49                      |Fl*|090.014562 +02.706575      |     ~|13.01 |11.31 |10.04 | 8.43 |M3.5Ve         |  77|   0
148 |V* V833 Ori                  |Fl*|084.10221 -05.11919        |     ~|     ~|15.4  |     ~|     ~|~              |   7|   0
149 |V* V606 Tau                  |Fl*|055.17737 +25.70550        |     ~|13.923|12.857|     ~|11.618|~              |  12|   0
150 |V* V709 Tau                  |Fl*|058.45383 +25.35397        |16.7  |15.800|     ~|14.900|     ~|~              |   7|   0
151 |V* V530 Tau                  |Fl*|056.666496 +23.988144      |     ~|18.000|     ~|15.200|     ~|~              |   9|   0
152 |V* V878 Tau                  |Fl*|057.65588 +22.46900        |15.4  |     ~|     ~|     ~|15.16 |~              |  10|   0
153 |V* V504 Tau                  |Fl*|055.67667 +23.33942        |     ~|18.433|16.765|     ~|13.823|~              |  15|   0
154 |V* BG Cnc                    |Fl*|130.679 +19.770            |15.5  |19.3  |     ~|     ~|     ~|~              |   3|   0
155 |2MASS J11242065+4228425      |Fl*|171.086054 +42.478497      |     ~|     ~|16.325|     ~|     ~|~              |   1|   0
156 |V* V860 Tau                  |Fl*|056.72513 +25.24583        |     ~|17.84 |16.19 |     ~|13.76 |~              |  19|   0
157 |V* QW Tau                    |Fl*|056.894921 +22.801353      |     ~|15.8  |17.7  |     ~|14.84 |~              |  12|   0
158 |V* V610 Cas                  |Fl*|036.67350 +59.78556        |     ~|13.7  |     ~|     ~|     ~|M0.5           |   2|   0
159 |V* V744 Ori                  |Fl*|083.578579 -05.117111      |16.2  |16.40 |     ~|     ~|     ~|~              |  15|   0
160 |V* V493 Tau                  |Fl*|055.34533 +23.93008        |     ~|18.5  |     ~|     ~|14.76 |~              |  14|   0
161 |V* LO Tau                    |Fl*|055.66763 +23.98939        |11.6  |17.07 |15.72 |     ~|13.29 |M2.2           |  30|   0
162 |V* HY Cep                    |Fl*|312.77333 +68.92300        |     ~|16.4  |     ~|16.000|     ~|~              |   2|   0
163 |V* V1020 Sco                 |Fl*|266.983 -35.735            |     ~|16.0  |     ~|     ~|     ~|~              |   1|   0
164 |V* V739 Ori                  |Fl*|083.53196 -06.58619        |15.2  |15.20 |     ~|15.700|     ~|~              |   3|   0
165 |Wolf 1225                    |Fl*|335.87123928 +32.45942088  |     ~|12.86 |10.762|10.26 | 9.7  |M0Ve           |  75|   0
166 |2MASS J09593918+4847546      |Fl*|149.913275 +48.798511      |     ~|     ~|12.137|     ~|     ~|~              |   1|   0
167 |V* V1789 Cyg                 |Fl*|311.275 +42.617            |16.2  |16.2  |     ~|     ~|     ~|~              |   1|   0
168 |GJ 3022                      |Fl*|004.23658 +20.06531        |     ~|15.4  |13.77 |13.289|10.7  |M4V            |  19|   0
