C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
1610|V* V426 Tau                  |Fl*|054.13013 +22.78250        |     ~|14.7  |     ~|13.0  |11.1  |~              |   9|   0
1611|V* KW Tau                    |Fl*|055.04033 +23.17578        |14.1  |14.10 |     ~|     ~|14.92 |~              |  11|   0
1612|V* V873 Tau                  |Fl*|057.166263 +24.211967      |15.4  |18.28 |16.68 |     ~|14.12 |~              |  19|   0
1613|V* V470 Tau                  |Fl*|057.62483 +25.05197        |     ~|18.15 |16.57 |     ~|14.00 |M2.7           |  16|   0
1614|V* V1191 Ori                 |Fl*|085.27779 -05.70489        |     ~|17.5  |     ~|14.400|     ~|~              |   3|   0
1615|V* V975 Ori                  |Fl*|083.47254 -06.28617        |     ~|18.9  |17.176|16.600|14.595|M3.4           |   8|   0
1616|V* KM Tau                    |Fl*|054.783817 +24.770717      |     ~|17.911|16.320|     ~|13.573|M              |  14|   0
1617|V* V1125 Ori                 |Fl*|083.951625 -06.293378      |11.9  |     ~|17.37 |     ~|14.56 |M4             |   9|   0
1618|V* V822 Ori                  |Fl*|084.021508 -06.423722      |     ~|15.0  |15.526|     ~|13.331|M1.5           |  16|   0
1619|V* V952 Tau                  |Fl*|070.21908 +22.84594        |     ~|13.6  |     ~|14.900|     ~|~              |   4|   0
1620|V* V561 Tau                  |Fl*|057.98962 +25.80878        |15.5  |     ~|17.59 |     ~|14.96 |M4.2           |  12|   0
1621|V* V531 Tau                  |Fl*|056.7125 +26.3258          |     ~|14.3  |     ~|     ~|     ~|~              |   5|   0
1622|V* V508 Tau                  |Fl*|055.79583 +25.41750        |     ~|14.3  |     ~|15.900|     ~|~              |   7|   0
1623|GJ 3635                      |Fl*|164.77658 +30.25358        |     ~|17.11 |15.36 |14.2  |11.7  |M5V            |  15|   0
1624|V* V889 Tau                  |Fl*|058.71900 +24.57625        |13.5  |14.510|13.167|     ~|11.587|~              |   7|   0
1625|V* V612 Tau                  |Fl*|055.613765 +22.573578      |     ~|15.5  |17.04 |     ~|14.45 |~              |  10|   0
1626|V* V640 Tau                  |Fl*|056.600204 +23.038508      |     ~|17.3  |     ~|15.500|     ~|~              |   7|   0
1627|GJ 4360                      |Fl*|356.38033 -16.17217        |     ~|14.8  |14.5  |14.161|     ~|M5             |  22|   1
1628|V* V600 Tau                  |Fl*|055.02821 +23.36550        |     ~|14.4  |     ~|     ~|     ~|~              |   5|   0
1629|V* LX Tau                    |Fl*|055.864304 +22.628161      |14.8  |20.9  |19.30 |     ~|15.90 |~              |  11|   0
1630|V* V378 Tau                  |Fl*|057.77321 +24.73681        |13.2  |15.14 |13.89 |     ~|12.35 |K4e            |  43|   0
1631|GJ 3839                      |Fl*|214.26229 +31.71311        |     ~|15.0  |13.108|12.831| 9.9  |M4.5V          |  36|   0
1632|V* V389 Tau                  |Fl*|057.97708 +23.55883        |     ~|18.901|17.268|     ~|14.357|~              |  15|   0
1633|V* V3127 Sgr                 |Fl*|275.44267 -36.61750        |     ~|15.2  |     ~|     ~|     ~|~              |   3|   0
1634|Ross 15                      |Fl*|029.84797781 +58.52113231  |     ~|12.90 |12.155|11.871|     ~|M4Ve           |  59|   0
1635|2MASS J17495613+3755179      |Fl*|267.483908 +37.921664      |     ~|     ~|15.160|     ~|     ~|~              |   1|   0
1636|V* V857 Cen                  |Fl*|172.94381588 -41.04643896  |14.129|13.082|11.535|10.384| 8.838|M3.5           |  65|   0
1637|V* V1064 Ori                 |Fl*|082.9621 -05.7019          |     ~|15.6  |     ~|     ~|     ~|~              |   2|   0
1638|V* V672 Mon                  |Fl*|100.39758 +09.82200        |     ~|16.3  |17.16 |16.900|     ~|~              |   4|   0
1639|V* V506 Tau                  |Fl*|055.806229 +24.386397      |     ~|17.0  |     ~|16.400|     ~|~              |  10|   0
1640|V* V880 Tau                  |Fl*|057.84946 +22.11339        |12.5  |14.361|13.189|     ~|11.828|~              |   8|   0
1641|V* V675 Mon                  |Fl*|100.71808 +10.31333        |     ~|16.4  |     ~|15.700|     ~|~              |   1|   0
1642|GJ 3786                      |Fl*|201.831954 -31.177619      |     ~|14.9  |13.6  |     ~|     ~|M3.5V          |  24|   0
1643|V* V1297 Ori                 |Fl*|083.985042 -04.191225      |16.0  |     ~|     ~|     ~|     ~|~              |   4|   0
1644|V* V962 Tau                  |Fl*|086.46642 +22.87986        |     ~|13.5  |     ~|13.000|     ~|~              |   4|   0
1645|V* V874 Ori                  |Fl*|084.40279 -07.05128        |14.5  |14.50 |18.127|16.500|15.029|M4.3           |   9|   0
1646|V* V1108 Ori                 |Fl*|083.32625 -07.03200        |     ~|14.8  |15.2  |14.600|     ~|~              |   3|   0
1647|V* V894 Ori                  |Fl*|084.96592 -03.78053        |     ~|15.8  |     ~|16.300|     ~|~              |   3|   0
1648|V* BH Cnc                    |Fl*|130.696 +21.020            |     ~|19.5  |     ~|     ~|     ~|~              |   3|   0
1649|V* NZ Tau                    |Fl*|056.30475 +24.25661        |15.8  |15.80 |19.80 |     ~|15.60 |~              |  15|   0
1650|V* V793 Ori                  |Fl*|083.824879 -05.827103      |16.3  |19.3  |15.26 |14.35 |13.13 |~              |  13|   0
1651|V* V842 Tau                  |Fl*|055.414062 +22.349172      |     ~|16.2  |     ~|16.900|     ~|~              |   7|   0
1652|V* V1009 Tau                 |Fl*|056.423258 +24.075644      |     ~|15.2  |     ~|14.000|     ~|~              |   7|   0
1653|HAT 216-03176                |Fl*|069.8466392 +33.5304192    |     ~|15.808|14.335|13.941|     ~|M4.63          |   7|   0
1654|V* KZ Tau                    |Fl*|055.474317 +23.545392      |     ~|13.60 |     ~|     ~|     ~|~              |   6|   0
1655|V* V366 Tau                  |Fl*|057.50267 +25.39886        |     ~|14.60 |13.29 |     ~|11.67 |K7.5           |  18|   0
1656|V* MW Tau                    |Fl*|056.068531 +23.617867      |15.0  |15.00 |17.2  |     ~|     ~|M              |  16|   0
1657|V* V790 Tau                  |Fl*|056.53488 +23.34750        |13.0  |14.85 |13.62 |     ~|12.26 |M:             |  24|   0
1658|V* V938 Ori                  |Fl*|083.661429 -06.105369      |     ~|15.66 |14.42 |14.03 |12.81 |K3e...         |  16|   0
1659|V* V792 Ori                  |Fl*|083.81167 -07.30194        |     ~|15.1  |     ~|14.700|     ~|~              |   2|   0
1660|V* V1072 Ori                 |Fl*|083.847879 -06.023667      |     ~|16.90 |15.36 |14.67 |13.24 |M0.7           |   5|   0
1661|V* V1301 Ori                 |Fl*|084.530279 -05.021733      |     ~|16.65 |15.44 |15.19 |     ~|~              |   8|   0
1662|V* V1079 Ori                 |Fl*|084.40971 -04.22017        |15.1  |     ~|     ~|     ~|     ~|~              |   2|   0
1663|V* V391 Tau                  |Fl*|058.08588 +24.56581        |     ~|16.50 |     ~|     ~|     ~|~              |   4|   0
1664|V* V876 Tau                  |Fl*|057.29683 +22.17681        |12.9  |15.11 |13.80 |     ~|12.10 |M:             |  10|   0
1665|V* V825 Ori                  |Fl*|084.039546 -06.310092      |     ~|14.2  |15.192|     ~|13.061|M2             |  15|   0
1666|V* V576 Tau                  |Fl*|058.543121 +23.093431      |     ~|17.300|     ~|16.100|     ~|~              |   7|   0
1667|2MASS J00414141+4410530      |Fl*|010.42254 +44.18142        |     ~|     ~|14.251|     ~|     ~|M2             |   5|   0
1668|V* V1758 Cyg                 |Fl*|318.170950 +48.931878      |     ~|16.1  |     ~|16.07 |     ~|~              |   2|   0
1669|V* V958 Ori                  |Fl*|085.17262 -06.50839        |     ~|15.3  |     ~|13.100|     ~|~              |   4|   0
1670|HD 42581                     |Fl*|092.64423054 -21.86464214  |10.801| 9.607| 8.125| 7.164| 6.121|M1V            | 336|   0
1671|V* HR Cep                    |Fl*|001.8013 +67.2114          |     ~|     ~|17.1  |     ~|     ~|~              |   3|   0
1672|GJ 3734                      |Fl*|188.1096909 +20.3910053    |     ~|14.46 |13.009|12.513|     ~|M4             |  23|   0
1673|V* V588 Ori                  |Fl*|084.40592 -05.87272        |     ~|16.900|16.6  |15.700|     ~|~              |   4|   0
1674|V* V674 Mon                  |Fl*|100.72783 +09.20564        |     ~|16.0  |     ~|14.900|     ~|~              |   1|   0
1675|V* V676 Ori                  |Fl*|081.9483 -06.8353          |16.0  |16.00 |     ~|     ~|     ~|~              |   4|   0
1676|V* GQ And                    |Fl*|004.606242 +44.027122      |     ~|12.84 |11.04 |10.3  |     ~|M3.5Ve         | 197|   1
1677|V* V712 Tau                  |Fl*|056.23888 +23.99236        |     ~|14.0  |     ~|     ~|     ~|~              |   8|   0
1678|2MASS J04320652+3453006      |Fl*|068.027167 +34.883511      |     ~|     ~|14.875|     ~|     ~|~              |   1|   0
1679|2MASS J11382584+3951230      |Fl*|174.607696 +39.856400      |     ~|14.8  |13.87 |     ~|     ~|~              |   4|   0
1680|GJ 3033                      |Fl*|006.14492 +30.04153        |     ~|16.21 |14.515|14.313|11.0  |M5V            |  30|   0
1681|V* V599 Per                  |Fl*|048.934746 +50.482036      |13.9  |14.01 |11.33 |     ~|     ~|~              |   3|   0
1682|V* V939 Tau                  |Fl*|068.704 +23.837            |     ~|15.3  |     ~|     ~|     ~|~              |   5|   0
1683|V* V632 Cas                  |Fl*|359.2517 +60.9317          |     ~|13.9  |     ~|     ~|     ~|~              |   1|   0
1684|V* V807 Ori                  |Fl*|083.908777 -06.197967      |     ~|     ~|19.807|     ~|16.330|M4.5           |   4|   0
1685|G 41-14                      |Fl*|134.7346700 +08.4739078    |     ~|12.57 |10.92 | 9.67 | 8.05 |M3.5V          |  61|   0
1686|V* V509 Tau                  |Fl*|055.80050 +24.74592        |     ~|18.731|17.093|     ~|14.202|~              |  23|   0
1687|[H83b] B75                   |Fl*|067.75 +24.83              |     ~|18.0  |     ~|     ~|     ~|~              |   2|   0
1688|V* HT Cep                    |Fl*|311.14046 +67.39089        |     ~|16.6  |     ~|16.100|     ~|~              |   2|   0
1689|V* V388 Tau                  |Fl*|057.97933 +23.96175        |     ~|13.4  |     ~|     ~|15.03 |~              |  13|   0
1690|[TSA98] J220839.41+453151.20 |Fl*|332.1646 +45.5308          |     ~|     ~|     ~|     ~|     ~|M3Ve           |   2|   0
1691|V* V3640 Sgr                 |Fl*|279.06621 -32.73072        |     ~|14.5  |     ~|     ~|     ~|~              |   3|   0
1692|G 124-44                     |Fl*|216.9849621 -00.3719814    |     ~|15.4  |     ~|13.776|10.98 |M4.5           |  12|   0
1693|[HC73] 1                     |Fl*|315.65 +42.33              |     ~|     ~|     ~|     ~|     ~|~              |   6|   0
1694|V* V845 Tau                  |Fl*|055.78154 +25.57478        |     ~|14.5  |     ~|     ~|14.72 |~              |  10|   0
1695|V* QZ Per                    |Fl*|049.49188 +37.57156        |     ~|14.5  |     ~|     ~|     ~|~              |   7|   0
1696|V* V1932 Oph                 |Fl*|260.3404 -19.0894          |     ~|17.4  |     ~|     ~|     ~|~              |   3|   0
1697|GJ 3976                      |Fl*|252.74146 +22.45161        |     ~|15.86 |14.059|13.804|10.5  |M5V            |  23|   0
1698|V* CV Cnc                    |Fl*|127.9059283 +19.3970228    |11.8  |15.1  |14.83 |13.057|     ~|M4.0V          |  63|   0
1699|V* PY Tau                    |Fl*|056.743908 +24.461136      |     ~|12.1  |17.4  |     ~|14.56 |~              |  17|   0
1700|V* CI Cnc                    |Fl*|130.3612 +18.2344          |15.6  |     ~|     ~|     ~|     ~|~              |   3|   0
1701|V* V767 Ori                  |Fl*|083.66292 -06.45589        |     ~|17.400|16.350|15.900|14.048|M1.8           |   5|   0
1702|V* V1066 Ori                 |Fl*|083.1533 -06.7550          |     ~|15.8  |     ~|     ~|     ~|~              |   3|   0
1703|GJ 3729                      |Fl*|187.26208 +41.73047        |     ~|13.8  |12.887|12.584| 9.9  |M3.5V          |  25|   0
1704|V* V385 Tau                  |Fl*|057.91692 +22.08514        |     ~|14.5  |     ~|12.900|     ~|M              |   4|   0
1705|V* V380 Tau                  |Fl*|057.85071 +26.05325        |     ~|18.35 |16.68 |     ~|14.02 |M3.2           |  17|   0
1706|V* V706 Tau                  |Fl*|057.45579 +25.11178        |16.0  |16.400|     ~|15.800|     ~|~              |   6|   0
1707|V* V947 Tau                  |Fl*|069.60837 +22.06703        |     ~|15.1  |     ~|13.900|     ~|~              |   3|   0
1708|V* V629 Tau                  |Fl*|056.04129 +24.26781        |15.2  |17.915|16.358|     ~|13.845|~              |  16|   0
1709|V* QS Tau                    |Fl*|056.79592 +24.23103        |     ~|14.00 |19.34 |     ~|16.03 |F0V            |  15|   0
1710|V* DQ Cnc                    |Fl*|130.557533 +20.357494      |15.0  |15.0  |     ~|14.86 |     ~|M1:            |   2|   0
1711|V* V870 Tau                  |Fl*|057.09438 +22.87269        |     ~|17.64 |16.14 |     ~|13.67 |~              |  19|   0
1712|LP 167-63                    |Fl*|158.60792 +46.30631        |     ~|18.2  |13.74 |15.4  |12.9  |M4.5           |   7|   0
1713|V* V743 Tau                  |Fl*|056.20117 +25.79358        |16.7  |16.000|     ~|15.500|     ~|~              |   6|   0
1714|V* V600 Cas                  |Fl*|030.758867 +61.260300      |     ~|12.00 |11.17 |     ~|     ~|~              |   1|   0
1715|V* V681 Ori                  |Fl*|082.30588 -03.67194        |16.1  |16.10 |     ~|15.800|     ~|~              |   2|   0
1716|GJ 3027                      |Fl*|004.72304 +27.81389        |     ~|15.0  |13.881|13.498|10.8  |M4V            |  15|   0
1717|V* V603 Tau                  |Fl*|055.26242 +23.72269        |     ~|15.7  |17.15 |     ~|14.29 |~              |  11|   0
1718|V* V1138 Ori                 |Fl*|084.32333 -03.52575        |     ~|15.6  |     ~|14.500|     ~|~              |   3|   0
1719|V* EE Cnc                    |Fl*|129.562 +19.470            |11.0  |11.0  |     ~|     ~|     ~|~              |   1|   0
1720|V* V741 Tau                  |Fl*|055.99671 +22.57261        |     ~|16.1  |     ~|15.500|     ~|~              |  10|   0
1721|V* V843 Ori                  |Fl*|084.155013 -05.813356      |     ~|     ~|18.0  |     ~|     ~|~              |   3|   0
1722|V* V373 Tau                  |Fl*|057.60475 +23.92833        |15.4  |15.40 |     ~|     ~|15.20 |~              |  10|   0
1723|V* V732 Tau                  |Fl*|054.63625 +23.40206        |     ~|16.2  |     ~|     ~|     ~|~              |   5|   0
1724|GJ 4110                      |Fl*|291.7057539 +16.7171131    |     ~|14.1  |13.035|12.690|10.43 |M3.5V          |  15|   0
1725|V* V1215 Ori                 |Fl*|083.51854 -05.04897        |17.0  |15.8  |     ~|14.600|     ~|~              |   4|   0
1726|V* V335 Tau                  |Fl*|056.936115 +22.398155      |     ~|14.7  |18.3  |     ~|15.42 |~              |  12|   0
1727|V* V488 Tau                  |Fl*|054.87167 +23.49939        |12.8  |15.60 |14.23 |     ~|12.50 |~              |  16|   0
1728|V* V614 Tau                  |Fl*|055.648500 +21.841697      |     ~|17.2  |     ~|     ~|     ~|~              |   8|   0
1729|V* V639 Tau                  |Fl*|056.539942 +22.710397      |     ~|20.2  |17.30 |     ~|14.64 |~              |  17|   0
1730|2MASS J09031476+4207249      |Fl*|135.81150 +42.12361        |     ~|     ~|11.823|     ~|     ~|~              |   4|   0
1731|V* V1087 Tau                 |Fl*|056.84567 +24.84897        |16.8  |     ~|17.16 |     ~|14.36 |~              |  13|   0
1732|V* DZ Cnc                    |Fl*|128.629 +19.257            |11.5  |11.5  |     ~|     ~|     ~|~              |   2|   0
1733|V* V1956 Cyg                 |Fl*|312.70892 +43.96492        |     ~|17.5  |     ~|17.100|     ~|~              |   1|   0
1734|V* V348 Tau                  |Fl*|057.11075 +23.19164        |     ~|19.098|17.450|     ~|14.123|M5             |  20|   0
1735|V* V760 Cen                  |Fl*|213.132479 -59.424283      |     ~|12.19 |11.32 |11.39 |10.70 |~              |   2|   0
1736|V* V680 Ori                  |Fl*|082.23079 -04.33739        |16.5  |16.50 |     ~|14.800|     ~|~              |   3|   0
1737|GJ 4277 B                    |Fl*|336.56458 +03.00208        |     ~|17.6  |     ~|15.6  |13.8  |M6V            |  11|   0
1738|V* IO Tau                    |Fl*|066.03904 +15.08764        |15.8  |16.82 |15.11 |14.97 |12.6  |M5V            |  16|   0
1739|V* V867 Ori                  |Fl*|084.37750 -03.54064        |     ~|18.700|18.0  |17.000|     ~|~              |   3|   0
1740|V* V1091 Tau                 |Fl*|057.64883 +25.42650        |12.2  |13.026|12.095|     ~|10.987|~              |   8|   0
1741|G 68-5                       |Fl*|349.366969 +19.613031      |     ~|13.69 |12.052|11.627| 9.3  |M2V            |  33|   0
1742|V* V997 Ori                  |Fl*|086.00400 -05.61281        |     ~|16.6  |     ~|14.800|     ~|~              |   2|   0
1743|V* V756 Tau                  |Fl*|057.12354 +23.00078        |     ~|16.0  |     ~|15.700|     ~|~              |   6|   0
1744|V* V616 Cas                  |Fl*|040.493387 +63.338675      |     ~|14.20 |11.57 |     ~|     ~|M2.5           |   2|   0
1745|V* V859 Ori                  |Fl*|084.28629 -04.63994        |     ~|18.200|     ~|16.100|     ~|~              |   1|   0
1746|V* V703 Tau                  |Fl*|056.89033 +24.68422        |12.2  |13.882|12.809|     ~|11.527|K5             |  36|   0
1747|V* OQ Mon                    |Fl*|100.27875 +09.49000        |17.135|17.578|16.541|16.65 |14.649|M0             |  24|   0
1748|GJ 3224                      |Fl*|051.42604 +05.86442        |     ~|16.37 |14.810|13.890|10.8  |M4.5           |  13|   0
1749|V* V1039 Tau                 |Fl*|056.09854 +23.79303        |15.5  |16.0  |     ~|14.800|     ~|~              |   3|   0
1750|V* V1777 Cyg                 |Fl*|306.16192 +42.56892        |15.5  |15.5  |     ~|16.400|     ~|~              |   2|   0
1751|V* V547 Tau                  |Fl*|057.15662 +22.25689        |     ~|16.7  |     ~|16.400|     ~|~              |   8|   0
1752|V* V394 Tau                  |Fl*|058.07938 +22.17558        |     ~|13.5  |     ~|13.700|     ~|~              |   3|   0
1753|V* V1712 Cyg                 |Fl*|314.1004 +43.2867          |17.3  |     ~|     ~|     ~|     ~|~              |   2|   0
1754|BD-17 6768                   |Fl*|353.19501707 -16.75201130  |12.81 |11.86 |10.38 |10.088| 8.020|M3Ve           |  61|   1
1755|V* V1038 Ori                 |Fl*|082.89754 -07.18197        |13.5  |16.700|     ~|14.800|     ~|~              |   2|   0
1756|V* V812 Ori                  |Fl*|083.950563 -05.899267      |     ~|16.6  |17.0  |16.600|     ~|~              |  12|   0
1757|V* V378 Ori                  |Fl*|083.943442 -05.683547      |19.154|17.818|16.577|     ~|13.286|M4.1e          |  21|   0
1758|BD+48 2138C                  |Fl*|204.41850 +48.13172        |     ~|16.0  |14.47 |13.0  |10.7  |M4             |  19|   0
1759|V* V981 Tau                  |Fl*|058.16229 +22.45825        |15.2  |15.2  |     ~|15.300|     ~|~              |   2|   0
1760|GJ 362                       |Fl*|145.71555466 +70.03941612  |     ~|12.61 |11.36 |10.6  |10.0  |M3.5V          |  62|   0
1761|V* V972 Ori                  |Fl*|082.97942 -04.38139        |     ~|14.6  |     ~|16.300|     ~|~              |   3|   0
1762|V* V666 Tau                  |Fl*|057.297650 +22.273106      |     ~|16.700|     ~|16.200|     ~|~              |   6|   0
1763|V* V367 Tau                  |Fl*|057.487608 +25.087533      |     ~|14.5  |     ~|17.300|     ~|~              |   7|   0
1764|V* V1150 Ori                 |Fl*|085.61471 -06.76703        |15.8  |15.8  |     ~|15.500|     ~|~              |   2|   0
1765|V* V1118 Tau                 |Fl*|070.174446 +23.021228      |     ~|16.100|     ~|14.600|     ~|~              |   1|   0
1766|V* V1209 Ori                 |Fl*|083.165154 -03.603967      |15.5  |14.63 |     ~|13.900|     ~|~              |   4|   0
1767|V* V383 Tau                  |Fl*|057.91292 +24.59150        |16.1  |18.6  |     ~|     ~|14.96 |~              |  10|   0
1768|GJ 3518                      |Fl*|133.83471 -23.87086        |     ~|15.610|13.823|13.722|     ~|M4             |  19|   0
1769|[H83b] B43                   |Fl*|070.17 +23.05              |     ~|16.4  |     ~|     ~|     ~|~              |   2|   0
1770|GJ 3639                      |Fl*|165.79167 +36.65236        |     ~|14.8  |13.752|13.377|10.4  |M3.5V          |  27|   0
1771|GJ 3395                      |Fl*|097.7547953 +50.0467439    |     ~|12.54 |11.063|10.641| 9.4  |M0.8V          |  26|   0
1772|V* V968 Tau                  |Fl*|056.39992 +26.14261        |13.3  |13.3  |     ~|14.600|     ~|~              |   2|   0
1773|V* V503 Tau                  |Fl*|055.70029 +25.91653        |     ~|14.8  |     ~|15.600|     ~|~              |   8|   0
1774|V* V715 Tau                  |Fl*|058.05546 +26.14364        |14.8  |18.380|16.789|     ~|14.186|M3.2           |  11|   0
1775|V* V619 Tau                  |Fl*|055.859151 +26.041912      |     ~|18.4  |16.56 |     ~|14.34 |~              |  12|   0
1776|V* V668 Tau                  |Fl*|057.400446 +23.939839      |15.1  |     ~|17.46 |     ~|14.76 |~              |  13|   0
1777|V* V521 Tau                  |Fl*|056.349696 +24.732667      |15.2  |14.3  |     ~|13.800|     ~|~              |   6|   0
1778|Ton 91                       |Fl*|189.18 +46.85              |     ~|15.6  |     ~|     ~|     ~|~              |   3|   0
1779|V* HZ Ori                    |Fl*|083.4863 -04.9833          |     ~|14.9  |     ~|     ~|     ~|~              |   6|   0
1780|V* V820 Tau                  |Fl*|065.67233 +25.58308        |     ~|15.2  |     ~|14.900|     ~|~              |   2|   0
1781|V* V536 Tau                  |Fl*|056.78929 +23.74219        |     ~|16.88 |15.25 |     ~|12.85 |M              |  35|   0
1782|V* V1929 Cyg                 |Fl*|314.34271 +43.96486        |     ~|14.5  |15.1  |17.800|     ~|~              |   6|   0
1783|V* LU Tau                    |Fl*|055.79058 +24.69250        |20.523|17.97 |16.37 |     ~|13.73 |~              |  25|   0
1784|LP 329-19                    |Fl*|240.435429 +30.461383      |     ~|17.02 |15.18 |14.84 |     ~|M4.5           |  12|   0
1785|2MASS J04284278+1711499      |Fl*|067.17825 +17.19719        |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
1786|V* V990 Ori                  |Fl*|084.111275 -06.441386      |     ~|13.0  |14.818|14.700|12.529|M0.5           |  11|   1
1787|V* V761 Ori                  |Fl*|083.63254 -06.38050        |     ~|16.2  |16.607|15.700|13.546|M4.3           |   8|   0
1788|2MASS J03454344+2605051      |Fl*|056.431008 +26.084764      |     ~|18.0  |16.70 |15.9  |     ~|~              |   2|   0
1789|GJ 4274                      |Fl*|335.77904 -17.60694        |     ~|15.09 |13.30 |11.87 |10.04 |M4.5Ve         |  49|   0
1790|V* V705 Tau                  |Fl*|057.26483 +22.85325        |15.8  |15.400|     ~|15.000|     ~|~              |   6|   0
1791|V* V1092 Ori                 |Fl*|082.65250 -04.62736        |     ~|15.4  |     ~|17.800|     ~|~              |   2|   0
1792|V* V865 Tau                  |Fl*|056.86992 +22.37658        |14.2  |16.213|14.769|     ~|12.701|M:             |  13|   0
1793|V* V763 Tau                  |Fl*|057.74233 +23.92858        |14.4  |     ~|     ~|     ~|15.08 |~              |   8|   0
1794|V* V890 Tau                  |Fl*|059.4196 +25.2678          |     ~|14.5  |     ~|     ~|     ~|~              |   4|   0
1795|V* PV Tau                    |Fl*|056.72333 +24.28753        |     ~|13.9  |16.27 |     ~|13.53 |M:             |  36|   0
1796|HD 88230                     |Fl*|152.84225212 +49.45423798  | 9.23 | 7.94 | 6.61 | 5.36 | 4.56 |K8V            | 376|   0
1797|V* V948 Tau                  |Fl*|069.63725 +23.70106        |     ~|16.0  |     ~|15.500|     ~|~              |   4|   0
1798|V* V1114 Ori                 |Fl*|083.53004 -05.19558        |17.302|15.796|14.845|     ~|12.849|~              |   9|   0
1799|V* OX Ori                    |Fl*|083.977617 -05.452100      |18.332|17.035|15.925|     ~|13.415|M2             |  37|   0
1800|V* V371 Ori                  |Fl*|083.4366509 +01.9454053    |13.956|12.51 |11.499|10.382| 9.072|M3.0V          | 115|   0
1801|V* V802 Tau                  |Fl*|057.96308 +23.29483        |13.5  |     ~|     ~|     ~|     ~|~              |   7|   0
1802|[PMF2009] V261               |Fl*|163.39650 -61.43844        |     ~|     ~|19.62 |     ~|     ~|~              |   1|   0
1803|V* V400 Ori                  |Fl*|083.704575 -05.768056      |     ~|15.5  |16.07 |     ~|13.60 |M3.5           |  21|   0
1804|V* V713 Ori                  |Fl*|083.2946 -04.9853          |     ~|     ~|16.5  |     ~|     ~|~              |   3|   0
1805|V* V1609 Cyg                 |Fl*|314.637212 +42.875050      |16.2  |17.4  |     ~|15.5  |     ~|~              |   2|   0
1806|V* V532 Tau                  |Fl*|056.69071 +25.45847        |15.8  |18.43 |16.87 |     ~|14.21 |M3.5           |  18|   0
1807|V* V1059 Ori                 |Fl*|082.136667 -07.061278      |     ~|16.9  |     ~|     ~|     ~|~              |   2|   0
1808|V* V1714 Cyg                 |Fl*|314.394038 +43.158486      |15.9  |18.9  |     ~|15.7  |     ~|~              |   2|   0
1809|V* V691 Tau                  |Fl*|059.10446 +26.13658        |     ~|18.7  |     ~|17.100|     ~|~              |   5|   0
1810|V* CG Cnc                    |Fl*|130.287 +18.755            |     ~|17.5  |     ~|     ~|     ~|~              |   2|   0
1811|V* V551 Tau                  |Fl*|057.33950 +23.65183        |     ~|19    |17.15 |     ~|14.41 |~              |  13|   0
1812|V* V483 Per                  |Fl*|042.8925 +37.8369          |     ~|15.1  |     ~|     ~|     ~|~              |   3|   0
1813|V* V750 Tau                  |Fl*|056.64496 +22.93550        |13.0  |16.00 |     ~|     ~|     ~|~              |   8|   0
1814|V* AO Scl                    |Fl*|019.98733 -33.42786        |     ~|16.77 |15.25 |13.6  |     ~|M:             |   7|   0
1815|V* V353 Mon                  |Fl*|100.254 +09.848            |     ~|13.7  |     ~|     ~|     ~|K0             |   1|   0
1816|V* EK Cnc                    |Fl*|128.000 +21.247            |16.2  |17.6  |     ~|     ~|     ~|~              |   1|   0
1817|V* V1226 Ori                 |Fl*|083.72054 -06.80933        |17.0  |18.00 |17.122|16.400|14.496|M2.9           |   4|   0
1818|V* V802 Ara                  |Fl*|250.2283 -53.7594          |     ~|     ~|14.27 |     ~|     ~|~              |   4|   1
1819|V* V954 Ori                  |Fl*|084.49604 -00.77067        |     ~|15.0  |     ~|16.300|     ~|~              |   3|   0
1820|V* V676 Tau                  |Fl*|057.82396 +25.04111        |     ~|18.8  |     ~|16.900|     ~|~              |   7|   0
1821|V* V572 Tau                  |Fl*|058.59638 +25.99281        |     ~|16.6  |     ~|15.000|     ~|~              |   6|   0
1822|V* V1262 Ori                 |Fl*|081.829133 -05.673350      |15.4  |     ~|     ~|     ~|     ~|~              |   4|   0
1823|V* V602 Per                  |Fl*|052.36121 +49.34317        |13.1  |14.08 |13.06 |     ~|     ~|~              |  12|   0
1824|V* V1111 Ori                 |Fl*|083.38246 -06.40475        |     ~|17.87 |16.817|15.900|14.387|M2.6           |   5|   0
1825|HPRA 90                      |Fl*|084.07 -04.40              |     ~|     ~|14.1  |     ~|     ~|~              |   1|   0
1826|V* V523 Tau                  |Fl*|056.389054 +23.592775      |     ~|16.300|     ~|14.800|     ~|~              |   9|   0
1827|V* V751 Tau                  |Fl*|056.9054 +25.3342          |     ~|14.8  |     ~|     ~|     ~|~              |   6|   0
1828|2MASS J09163411+3447069      |Fl*|139.142129 +34.785256      |     ~|     ~|14.384|     ~|     ~|~              |   1|   0
1829|MASTER OT J163710.57+064432.4|Fl*|249.293871 +06.741914      |     ~|20.9  |     ~|19.6  |     ~|~              |   1|   0
